days,exposure,death_all,death_anthrax,total_monkeys,run
1,2499,0,0,32,Run 3
2,1693,0,0,32,Run 3
3,345,0,0,32,Run 3
4,745,0,0,32,Run 3
5,350,0,0,32,Run 3
6,0,0,0,32,Run 3
7,0,0,0,32,Run 3
8,0,0,0,32,Run 3
9,450,1,0,31,Run 3
10,50,0,0,31,Run 3
11,695,0,0,31,Run 3
12,150,0,0,31,Run 3
13,0,0,0,31,Run 3
14,0,0,0,31,Run 3
15,100,2,2,29,Run 3
16,275,1,1,28,Run 3
17,180,1,1,27,Run 3
18,350,2,2,25,Run 3
19,450,0,0,25,Run 3
20,0,0,0,25,Run 3
21,0,0,0,25,Run 3
22,615,0,0,25,Run 3
23,810,0,0,25,Run 3
24,50,1,1,24,Run 3
25,75,0,0,24,Run 3
26,475,1,1,23,Run 3
27,0,0,0,23,Run 3
28,0,0,0,23,Run 3
29,675,0,0,23,Run 3
30,150,0,0,23,Run 3
31,920,1,1,22,Run 3
32,440,0,0,22,Run 3
33,400,0,0,22,Run 3
34,0,0,0,22,Run 3
35,0,0,0,22,Run 3
36,1420,0,0,22,Run 3
37,275,0,0,22,Run 3
38,750,0,0,22,Run 3
39,525,0,0,22,Run 3
40,400,0,0,22,Run 3
41,0,1,1,21,Run 3
42,0,0,0,21,Run 3
43,0,0,0,21,Run 3
44,300,0,0,21,Run 3
45,350,2,1,19,Run 3
46,0,1,1,18,Run 3
47,0,0,0,18,Run 3
48,0,0,0,18,Run 3
49,0,0,0,18,Run 3
50,0,2,2,16,Run 3
1,350,0,0,31,Run 4
2,100,0,0,31,Run 4
3,150,1,0,30,Run 4
4,25,0,0,30,Run 4
5,50,0,0,30,Run 4
6,0,0,0,30,Run 4
7,0,0,0,30,Run 4
8,320,0,0,30,Run 4
9,100,0,0,30,Run 4
10,50,0,0,30,Run 4
11,0,0,0,30,Run 4
12,0,0,0,30,Run 4
13,0,0,0,30,Run 4
14,0,1,1,29,Run 4
15,345,0,0,29,Run 4
16,25,0,0,29,Run 4
17,250,0,0,29,Run 4
18,150,0,0,29,Run 4
19,0,1,1,28,Run 4
20,0,0,0,28,Run 4
21,0,1,1,27,Run 4
22,150,0,0,27,Run 4
23,160,0,0,27,Run 4
24,250,0,0,27,Run 4
25,50,1,1,26,Run 4
26,0,0,0,26,Run 4
27,0,0,0,26,Run 4
28,0,0,0,26,Run 4
29,350,0,0,26,Run 4
30,0,0,0,26,Run 4
31,325,0,0,26,Run 4
32,425,1,1,25,Run 4
33,0,0,0,25,Run 4
34,0,0,0,25,Run 4
35,10,0,0,25,Run 4
36,30,0,0,25,Run 4
37,50,0,0,25,Run 4
38,250,0,0,25,Run 4
39,700,0,0,25,Run 4
40,294,0,0,25,Run 4
41,0,0,0,25,Run 4
42,0,0,0,25,Run 4
43,0,0,0,25,Run 4
44,0,0,0,25,Run 4
45,0,1,1,24,Run 4
46,0,1,1,23,Run 4
47,0,1,0,22,Run 4
48,0,0,0,22,Run 4
49,0,0,0,22,Run 4
50,0,0,0,22,Run 4
1,210,0,0,28,Run 5
2,240,0,0,28,Run 5
3,497,0,0,28,Run 5
4,0,0,0,28,Run 5
5,0,1,0,27,Run 5
6,0,1,0,26,Run 5
7,0,0,0,26,Run 5
8,0,0,0,26,Run 5
9,0,1,0,25,Run 5
10,0,1,1,24,Run 5
11,0,0,0,24,Run 5
12,0,0,0,24,Run 5
13,0,0,0,24,Run 5
14,0,0,0,24,Run 5
15,0,0,0,24,Run 5
16,0,0,0,24,Run 5
17,0,2,1,22,Run 5
18,0,0,0,22,Run 5
19,0,0,0,22,Run 5
20,0,0,0,22,Run 5
21,0,0,0,22,Run 5
22,0,0,0,22,Run 5
23,0,0,0,22,Run 5
24,0,0,0,22,Run 5
25,0,0,0,22,Run 5
26,0,0,0,22,Run 5
27,0,0,0,22,Run 5
28,0,0,0,22,Run 5
29,775,0,0,22,Run 5
30,572,0,0,22,Run 5
31,0,0,0,22,Run 5
32,0,0,0,22,Run 5
33,0,0,0,22,Run 5
34,0,0,0,22,Run 5
35,0,0,0,22,Run 5
36,0,0,0,22,Run 5
37,0,0,0,22,Run 5
38,0,0,0,22,Run 5
39,0,0,0,22,Run 5
40,0,0,0,22,Run 5
41,0,0,0,22,Run 5
42,0,0,0,22,Run 5
43,0,0,0,22,Run 5
44,0,0,0,22,Run 5
45,0,0,0,22,Run 5
46,0,0,0,22,Run 5
47,0,0,0,22,Run 5
48,0,0,0,22,Run 5
49,0,0,0,22,Run 5
50,0,0,0,22,Run 5
